 ,Label,lumMean,lumSD,area,vsMean,vsSD,swMean,swSD,mwMean,mwSD,lwMean,lwSD,dblMean,dblSD
952,228_Citrus_AvLeaf,6807.726,1504.061,850788,2449.694,448.596,3802.066,799.817,8082.923,1691.123,5825.911,1468.727,6807.726,1504.061
953,229_Citrus_Leaf,5825.264,1132.805,2866822,2559.178,491.245,3509.847,737.906,6883.858,1241.611,4991.891,1140.147,5825.264,1132.805
954,229_Citrus_Pronotum,7466.168,675.61,74804,4095.641,568.041,4875.764,627.081,7847.696,740.222,8084.134,701.969,7466.168,675.61
955,229_Citrus_Dot,2586.207,270.077,5346,2835.481,283.968,2345.147,272.721,2999.395,332.327,2183.06,275.836,2586.207,270.077
956,229_Citrus_Abdomen,13722.594,2081.426,199484,6123.869,1101.761,8496.449,1492.593,13801.914,2113.645,16014.878,2410.248,13722.594,2081.426
957,229_Citrus_AvLeaf,6063.21,896.282,552410,2635.824,400.637,3662.046,555.646,7163.58,998.378,5179.721,908.564,6063.21,896.282
958,230_Citrus_Leaf,5753.452,1224.364,4053272,2505.372,506.213,3443.014,796.557,6799.475,1346.51,4940.924,1214.557,5753.452,1224.364
959,230_Citrus_Pronotum,7812.442,648.856,79408,3759.085,561.537,4248.092,598.322,7159.306,696.581,10918.887,915.693,7812.442,648.856
960,230_Citrus_Dot,2412.388,278.458,6039,2656.387,288.997,2144.833,306.464,2742.338,341.81,2192.385,264.886,2412.388,278.458
961,230_Citrus_Abdomen,9080.435,783.496,214111,4099.62,588.306,5009.603,695.989,8259.332,816.219,12748.363,1102.813,9080.435,783.496
962,230_Citrus_AvLeaf,6139.083,1197.146,872437,2609.464,476.423,3677.589,757.018,7241.617,1315.548,5274.618,1201.041,6139.083,1197.146
963,231_Citrus_Leaf,5884.579,1069.017,3867820,2500.809,444.565,3525.956,677.249,6964.489,1166.278,5039.41,1103.205,5884.579,1069.017
964,231_Citrus_Pronotum,11594.5,1105.728,82591,3835.889,568.669,5898.111,711.193,11576.58,1093.866,14316.432,1487.069,11594.5,1105.728
965,231_Citrus_Dot,2977.54,386.417,4146,2817.026,343.256,2563.83,378.056,3340.35,440.62,2765.037,397.901,2977.54,386.417
966,231_Citrus_Abdomen,12767.063,1881.181,158193,4346.382,1080.322,6724.314,1421.842,12731.828,1873.441,15666.573,2214.351,12767.063,1881.181
967,231_Citrus_AvLeaf,6186.799,1137.576,924277,2550.009,447.677,3686.095,709.69,7313.119,1248.485,5307.194,1155.4,6186.799,1137.576
968,232_Citrus_Leaf,6352.516,1776.726,3021237,2799.237,742.116,3851.32,1184.527,7403.752,1927.82,5609.709,1756.679,6352.516,1776.726
969,232_Citrus_Pronotum,6894.084,768.471,129069,3390.728,694.028,3741.018,765.255,6480.725,814.579,9351.428,963.767,6894.084,768.471
970,232_Citrus_Dot,2475.33,331.226,6150,3017.958,314.593,2554.893,343.592,2760.898,389.789,2207.383,333.898,2475.33,331.226
